cluster_id,cluster_name,main_query,total_queries,total_frequency,intent,axis,status,page_role,parent_cluster,recommended_url,commercial_priority,business_relevance,cannibalization_risk,notes
C030,Энергетика и ТЭЦ,трубопроводы для ТЭЦ,4,,commercial_research,industry,SEPARATE_PAGE,industry,I000,/bystrotruby-site/industries/energy/,medium,supporting,low,total_frequency не рассчитана: источник частотности недоступен
C031,Нефтегаз,быстроразъемные трубопроводы нефтегаз,4,,commercial_research,industry,REVIEW,industry,I000,/bystrotruby-site/industries/oil-and-gas/,low,traffic_only,high,total_frequency не рассчитана: источник частотности недоступен
C032,"Металлургия, химия и цемент",промышленные трубопроводы для шлама,5,,commercial_research,industry,SECTION,industry,I000,/bystrotruby-site/industries/metallurgy/,low,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
M000,Материалы труб,материалы трубопроводов,1,,commercial_research,material,HUB,hub,,/bystrotruby-site/materials/,medium,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
C033,Стальные трубы с БРС,стальные трубы с БРС,5,,commercial,intersection,SEPARATE_PAGE,material,M000,/bystrotruby-site/materials/steel-pipes/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C034,ПНД трубы и быстрые соединения,ПНД трубы с быстроразъемным соединением,5,,commercial_research,intersection,SEPARATE_PAGE,material,M000,/bystrotruby-site/materials/hdpe-pipes/,high,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
C035,Гибкие и плоскосворачиваемые рукава,плоскосворачиваемые рукава для воды,6,,commercial,material,SEPARATE_PAGE,material,M000,/bystrotruby-site/materials/rubber-hoses/,medium,supporting,low,total_frequency не рассчитана: источник частотности недоступен
C036,Комбинированные трубопроводы,комбинированный трубопровод,5,,commercial_research,material,HUB,material,M000,/bystrotruby-site/materials/combined-pipelines/,medium,core,medium,total_frequency не рассчитана: источник частотности недоступен
C037,"Нержавеющие, алюминиевые, композитные трубы",алюминиевые быстроразъемные трубы,4,,commercial_research,material,REVIEW,material,M000,/bystrotruby-site/materials/aluminum-pipes/,low,traffic_only,medium,total_frequency не рассчитана: источник частотности недоступен
K000,Типы соединений,быстроразъемные соединения для труб,5,,commercial,connection,HUB,hub,,/bystrotruby-site/catalog/quick-couplings/,high,core,high,total_frequency не рассчитана: источник частотности недоступен
C038,Bauer,соединение Bauer,6,,commercial,connection,SEPARATE_PAGE,connection_type,K000,/bystrotruby-site/catalog/quick-couplings/bauer/,medium,supporting,low,total_frequency не рассчитана: источник частотности недоступен
C039,Camlock,соединение Camlock,6,,commercial,connection,SEPARATE_PAGE,connection_type,K000,/bystrotruby-site/catalog/quick-couplings/camlock/,medium,supporting,low,total_frequency не рассчитана: источник частотности недоступен
C040,Grooved / Victaulic,грувлочное соединение труб,6,,commercial,connection,SEPARATE_PAGE,connection_type,K000,/bystrotruby-site/catalog/quick-couplings/grooved-couplings/,medium,traffic_only,medium,total_frequency не рассчитана: источник частотности недоступен
C041,Бугельные соединения,бугельное соединение труб,4,,commercial,connection,REVIEW,connection_type,K000,/bystrotruby-site/catalog/quick-couplings/yoke-couplings/,low,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
C042,"Фланцевые, сварные и резьбовые соединения",способы соединения труб,6,,informational,connection,ARTICLE,article,K000,/bystrotruby-site/articles/pipe-connection-methods/,low,traffic_only,low,total_frequency не рассчитана: источник частотности недоступен
C043,ПМТ и ПМТП,трубы ПМТ,9,,commercial_research,connection,SEPARATE_PAGE,category,C006,/bystrotruby-site/constructions/field-pipelines/,medium,traffic_only,high,total_frequency не рассчитана: источник частотности недоступен
P000,Комплектующие трубопровода,комплектующие для быстроразъемных трубопроводов,1,,commercial,product,HUB,category,,/bystrotruby-site/catalog/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C044,Фитинги и фасонные части,фасонные части трубопровода,7,,commercial,product,HUB,category,P000,/bystrotruby-site/catalog/fittings/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C045,Запорная и обратная арматура,арматура для временного трубопровода,5,,commercial,product,HUB,category,P000,/bystrotruby-site/catalog/valves/,medium,core,low,total_frequency не рассчитана: источник частотности недоступен
C046,Ремонтные соединения и гибкие вставки,ремонтное соединение труб,5,,commercial,product,SECTION,category,P000,/bystrotruby-site/catalog/fittings/#repair,medium,supporting,low,total_frequency не рассчитана: источник частотности недоступен
D000,Диаметры Ду/DN,диаметр трубопровода Ду,11,,commercial_research,diameter,FILTER_ONLY,diameter,C003,/bystrotruby-site/catalog/pipes/,medium,core,high,total_frequency не рассчитана: источник частотности недоступен
R000,Давление Ру/PN,рабочее давление трубопровода,9,,commercial_research,pressure,FILTER_ONLY,pressure,C003,/bystrotruby-site/catalog/pipes/,low,supporting,high,total_frequency не рассчитана: источник частотности недоступен
E000,Рабочие среды,трубопровод для перекачки сред,1,,commercial_research,medium,HUB,hub,,/bystrotruby-site/solutions/,medium,supporting,medium,total_frequency не рассчитана: источник частотности недоступен
C047,Вода и стоки,трубопровод для перекачки воды,6,,commercial_research,medium,SECTION,medium,E000,/bystrotruby-site/solutions/water-supply/,high,core,medium,total_frequency не рассчитана: источник частотности недоступен
C048,Абразивные смеси,трубопровод для абразивной смеси,5,,commercial_research,medium,SECTION,medium,E000,/bystrotruby-site/solutions/slurry-pumping/,medium,core,medium,total_frequency не рассчитана: источник частотности недоступен
C049,"Нефтепродукты, воздух и технологические жидкости",трубопровод для технологических жидкостей,5,,commercial_research,medium,REVIEW,medium,E000,/bystrotruby-site/industries/oil-and-gas/,low,traffic_only,high,total_frequency не рассчитана: источник частотности недоступен
Q001,Как выбрать быстроразъемное соединение,как выбрать БРС для труб,5,,informational,informational,ARTICLE,article,K000,/bystrotruby-site/articles/how-to-choose-quick-coupling/,low,supporting,low,total_frequency не рассчитана: источник частотности недоступен
Q002,Монтаж и эксплуатация,монтаж быстроразъемного трубопровода,5,,informational,informational,ARTICLE,article,C001,/bystrotruby-site/articles/quick-pipeline-installation/,low,supporting,low,total_frequency не рассчитана: источник частотности недоступен
Q003,Расчет и подбор,как подобрать диаметр трубопровода,5,,informational,informational,ARTICLE,article,C001,/bystrotruby-site/articles/pipeline-sizing/,low,supporting,low,total_frequency не рассчитана: источник частотности недоступен
Q004,Геозапросы,быстроразъемные трубопроводы Москва,5,,commercial,intersection,DO_NOT_TARGET,do_not_target,C001,,low,supporting,high,total_frequency не рассчитана: источник частотности недоступен
