query,frequency,frequency_source,intent,primary_cluster,secondary_cluster,axis,page_role,cluster_status,parent_cluster,serp_similarity_group,commercial_priority,business_relevance,target_product,recommended_url,notes
полевой трубопровод,,unavailable,commercial_research,Временные и мобильные трубопроводы,Временные и мобильные трубопроводы,general,category,SEPARATE_PAGE,C001,C006,high,core,комплект трубопровода,/bystrotruby-site/constructions/temporary-pipelines/,вариант/подинтент; частотность не получена
быстровозводимый трубопровод,,unavailable,commercial_research,Временные и мобильные трубопроводы,Временные и мобильные трубопроводы,general,category,SEPARATE_PAGE,C001,C006,high,core,комплект трубопровода,/bystrotruby-site/constructions/temporary-pipelines/,вариант/подинтент; частотность не получена
напорный трубопровод,,unavailable,commercial_research,Напорные трубопроводы,,general,hub,HUB,C001,C007,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/high-pressure-pipelines/,главный запрос кластера
высоконапорный трубопровод,,unavailable,commercial_research,Напорные трубопроводы,Напорные трубопроводы,general,hub,HUB,C001,C007,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/high-pressure-pipelines/,вариант/подинтент; частотность не получена
напорный водовод,,unavailable,commercial_research,Напорные трубопроводы,Напорные трубопроводы,general,hub,HUB,C001,C007,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/high-pressure-pipelines/,вариант/подинтент; частотность не получена
напорные трубопроводные системы,,unavailable,commercial_research,Напорные трубопроводы,Напорные трубопроводы,general,hub,HUB,C001,C007,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/high-pressure-pipelines/,вариант/подинтент; частотность не получена
трубопровод насосной станции,,unavailable,commercial_research,Напорные трубопроводы,Напорные трубопроводы,general,hub,HUB,C001,C007,medium,supporting,комплект трубопровода,/bystrotruby-site/constructions/high-pressure-pipelines/,вариант/подинтент; частотность не получена
водопонижение,,unavailable,commercial_research,Водопонижение,,application,application,SEPARATE_PAGE,A000,C008,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/,главный запрос кластера
водопонижение грунтовых вод,,unavailable,commercial_research,Водопонижение,Водопонижение,application,application,SEPARATE_PAGE,A000,C008,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/,вариант/подинтент; частотность не получена
строительное водопонижение,,unavailable,commercial_research,Водопонижение,Водопонижение,application,application,SEPARATE_PAGE,A000,C008,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/,вариант/подинтент; частотность не получена
водопонижение котлована,,unavailable,commercial_research,Водопонижение,Водопонижение,application,application,SEPARATE_PAGE,A000,C008,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/,вариант/подинтент; частотность не получена
водопонижение на стройплощадке,,unavailable,commercial_research,Водопонижение,Водопонижение,application,application,SEPARATE_PAGE,A000,C008,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/,вариант/подинтент; частотность не получена
трубы для водопонижения,,unavailable,commercial_research,Водопонижение,Водопонижение,application,application,SEPARATE_PAGE,A000,C008,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/,вариант/подинтент; частотность не получена
трубопровод водопонижения,,unavailable,commercial_research,Водопонижение,Водопонижение,application,application,SEPARATE_PAGE,A000,C008,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/,вариант/подинтент; частотность не получена
БРС для водопонижения,,unavailable,commercial_research,Водопонижение,Водопонижение,application,application,SEPARATE_PAGE,A000,C008,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/,вариант/подинтент; частотность не получена
водопонижение иглофильтрами,,unavailable,commercial_research,Водопонижение,Водопонижение,application,application,SEPARATE_PAGE,A000,C008,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/,вариант/подинтент; частотность не получена
водоотлив,,unavailable,commercial_research,Водоотлив и откачка воды,,application,application,SEPARATE_PAGE,A000,C009,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#vodootliv,главный запрос кластера
откачка воды,,unavailable,commercial_research,Водоотлив и откачка воды,Водоотлив и откачка воды,application,application,SEPARATE_PAGE,A000,C009,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#vodootliv,вариант/подинтент; частотность не получена
водоотлив трубопровод,,unavailable,commercial_research,Водоотлив и откачка воды,Водоотлив и откачка воды,application,application,SEPARATE_PAGE,A000,C009,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#vodootliv,вариант/подинтент; частотность не получена
трубы для откачки воды,,unavailable,commercial_research,Водоотлив и откачка воды,Водоотлив и откачка воды,application,application,SEPARATE_PAGE,A000,C009,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#vodootliv,вариант/подинтент; частотность не получена
отвод воды с объекта,,unavailable,commercial_research,Водоотлив и откачка воды,Водоотлив и откачка воды,application,application,SEPARATE_PAGE,A000,C009,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#vodootliv,вариант/подинтент; частотность не получена
аварийная откачка воды,,unavailable,commercial_research,Водоотлив и откачка воды,Водоотлив и откачка воды,application,application,SEPARATE_PAGE,A000,C009,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#vodootliv,вариант/подинтент; частотность не получена
водоотливная установка трубопровод,,unavailable,commercial_research,Водоотлив и откачка воды,Водоотлив и откачка воды,application,application,SEPARATE_PAGE,A000,C009,high,core,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#vodootliv,вариант/подинтент; частотность не получена
карьерный водоотлив,,unavailable,commercial_research,Карьерный водоотлив,,intersection,application,SEPARATE_PAGE,C009,C010,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#quarry,главный запрос кластера
водоотлив в карьере,,unavailable,commercial_research,Карьерный водоотлив,Карьерный водоотлив,intersection,application,SEPARATE_PAGE,C009,C010,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#quarry,вариант/подинтент; частотность не получена
откачка воды из карьера,,unavailable,commercial_research,Карьерный водоотлив,Карьерный водоотлив,intersection,application,SEPARATE_PAGE,C009,C010,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#quarry,вариант/подинтент; частотность не получена
трубы для карьерного водоотлива,,unavailable,commercial_research,Карьерный водоотлив,Карьерный водоотлив,intersection,application,SEPARATE_PAGE,C009,C010,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#quarry,вариант/подинтент; частотность не получена
карьерный водоотлив трубопровод,,unavailable,commercial_research,Карьерный водоотлив,Карьерный водоотлив,intersection,application,SEPARATE_PAGE,C009,C010,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#quarry,вариант/подинтент; частотность не получена
насосная станция карьерного водоотлива,,unavailable,commercial_research,Карьерный водоотлив,Карьерный водоотлив,intersection,application,SEPARATE_PAGE,C009,C010,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#quarry,вариант/подинтент; частотность не получена
шахтный водоотлив,,unavailable,commercial_research,Шахтный водоотлив,,intersection,application,SEPARATE_PAGE,C009,C011,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#mine,главный запрос кластера
водоотлив в шахте,,unavailable,commercial_research,Шахтный водоотлив,Шахтный водоотлив,intersection,application,SEPARATE_PAGE,C009,C011,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#mine,вариант/подинтент; частотность не получена
откачка воды из шахты,,unavailable,commercial_research,Шахтный водоотлив,Шахтный водоотлив,intersection,application,SEPARATE_PAGE,C009,C011,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#mine,вариант/подинтент; частотность не получена
шахтный водоотлив трубопровод,,unavailable,commercial_research,Шахтный водоотлив,Шахтный водоотлив,intersection,application,SEPARATE_PAGE,C009,C011,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#mine,вариант/подинтент; частотность не получена
трубы для шахтного водоотлива,,unavailable,commercial_research,Шахтный водоотлив,Шахтный водоотлив,intersection,application,SEPARATE_PAGE,C009,C011,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#mine,вариант/подинтент; частотность не получена
водоотлив рудника,,unavailable,commercial_research,Шахтный водоотлив,Шахтный водоотлив,intersection,application,SEPARATE_PAGE,C009,C011,high,core,трубы с БРС,/bystrotruby-site/solutions/dewatering/#mine,вариант/подинтент; частотность не получена
трубопровод для подачи воды,,unavailable,commercial_research,Водоснабжение и подача воды,,application,application,SEPARATE_PAGE,A000,C012,high,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/,главный запрос кластера
временное водоснабжение,,unavailable,commercial_research,Водоснабжение и подача воды,Водоснабжение и подача воды,application,application,SEPARATE_PAGE,A000,C012,high,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/,вариант/подинтент; частотность не получена
подача технической воды,,unavailable,commercial_research,Водоснабжение и подача воды,Водоснабжение и подача воды,application,application,SEPARATE_PAGE,A000,C012,high,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/,вариант/подинтент; частотность не получена
трубы для подачи воды,,unavailable,commercial_research,Водоснабжение и подача воды,Водоснабжение и подача воды,application,application,SEPARATE_PAGE,A000,C012,high,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/,вариант/подинтент; частотность не получена
временная сеть водоснабжения,,unavailable,commercial_research,Водоснабжение и подача воды,Водоснабжение и подача воды,application,application,SEPARATE_PAGE,A000,C012,high,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/,вариант/подинтент; частотность не получена
мобильный водовод,,unavailable,commercial_research,Водоснабжение и подача воды,Водоснабжение и подача воды,application,application,SEPARATE_PAGE,A000,C012,high,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/,вариант/подинтент; частотность не получена
техническое водоснабжение предприятия,,unavailable,commercial_research,Водоснабжение и подача воды,Водоснабжение и подача воды,application,application,SEPARATE_PAGE,A000,C012,high,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/,вариант/подинтент; частотность не получена
трубопровод для водоотведения,,unavailable,commercial_research,Водоотведение и дренаж,,application,application,SECTION,A000,C013,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#drainage,главный запрос кластера
отвод грунтовых вод,,unavailable,commercial_research,Водоотведение и дренаж,Водоотведение и дренаж,application,application,SECTION,A000,C013,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#drainage,вариант/подинтент; частотность не получена
трубы для отвода воды,,unavailable,commercial_research,Водоотведение и дренаж,Водоотведение и дренаж,application,application,SECTION,A000,C013,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#drainage,вариант/подинтент; частотность не получена
временное водоотведение,,unavailable,commercial_research,Водоотведение и дренаж,Водоотведение и дренаж,application,application,SECTION,A000,C013,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#drainage,вариант/подинтент; частотность не получена
дренаж стройплощадки,,unavailable,commercial_research,Водоотведение и дренаж,Водоотведение и дренаж,application,application,SECTION,A000,C013,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#drainage,вариант/подинтент; частотность не получена
отвод сточных вод,,unavailable,commercial_research,Водоотведение и дренаж,Водоотведение и дренаж,application,application,SECTION,A000,C013,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dewatering/#drainage,вариант/подинтент; частотность не получена
трубы для орошения,,unavailable,commercial_research,Орошение и мелиорация,,application,application,HUB,A000,C014,high,core,комплект трубопровода,/bystrotruby-site/solutions/irrigation-melioration/,главный запрос кластера
трубопровод для полива,,unavailable,commercial_research,Орошение и мелиорация,Орошение и мелиорация,application,application,HUB,A000,C014,high,core,комплект трубопровода,/bystrotruby-site/solutions/irrigation-melioration/,вариант/подинтент; частотность не получена
быстроразъемные трубы для полива,,unavailable,commercial_research,Орошение и мелиорация,Орошение и мелиорация,application,application,HUB,A000,C014,high,core,комплект трубопровода,/bystrotruby-site/solutions/irrigation-melioration/,вариант/подинтент; частотность не получена
мобильный трубопровод для орошения,,unavailable,commercial_research,Орошение и мелиорация,Орошение и мелиорация,application,application,HUB,A000,C014,high,core,комплект трубопровода,/bystrotruby-site/solutions/irrigation-melioration/,вариант/подинтент; частотность не получена
полевой трубопровод для полива,,unavailable,commercial_research,Орошение и мелиорация,Орошение и мелиорация,application,application,HUB,A000,C014,high,core,комплект трубопровода,/bystrotruby-site/solutions/irrigation-melioration/,вариант/подинтент; частотность не получена
мелиоративный трубопровод,,unavailable,commercial_research,Орошение и мелиорация,Орошение и мелиорация,application,application,HUB,A000,C014,high,core,комплект трубопровода,/bystrotruby-site/solutions/irrigation-melioration/,вариант/подинтент; частотность не получена
трубы для дождевальных машин,,unavailable,commercial_research,Орошение и мелиорация,Орошение и мелиорация,application,application,HUB,A000,C014,high,core,комплект трубопровода,/bystrotruby-site/solutions/irrigation-melioration/,вариант/подинтент; частотность не получена
пульпопровод,,unavailable,commercial_research,Пульпопроводы,,application,application,SEPARATE_PAGE,A000,C015,high,core,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/,главный запрос кластера
трубопровод для пульпы,,unavailable,commercial_research,Пульпопроводы,Пульпопроводы,application,application,SEPARATE_PAGE,A000,C015,high,core,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/,вариант/подинтент; частотность не получена
трубы для пульпопровода,,unavailable,commercial_research,Пульпопроводы,Пульпопроводы,application,application,SEPARATE_PAGE,A000,C015,high,core,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/,вариант/подинтент; частотность не получена
стальной пульпопровод,,unavailable,commercial_research,Пульпопроводы,Пульпопроводы,application,application,SEPARATE_PAGE,A000,C015,high,core,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/,вариант/подинтент; частотность не получена
ПНД пульпопровод,,unavailable,commercial_research,Пульпопроводы,Пульпопроводы,application,application,SEPARATE_PAGE,A000,C015,high,core,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/,вариант/подинтент; частотность не получена
перекачка пульпы,,unavailable,commercial_research,Пульпопроводы,Пульпопроводы,application,application,SEPARATE_PAGE,A000,C015,high,core,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/,вариант/подинтент; частотность не получена
напорный пульпопровод,,unavailable,commercial_research,Пульпопроводы,Пульпопроводы,application,application,SEPARATE_PAGE,A000,C015,high,core,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/,вариант/подинтент; частотность не получена
шламопровод,,unavailable,commercial_research,Шламопроводы,,application,application,SEPARATE_PAGE,A000,C016,high,core,комплект трубопровода,/bystrotruby-site/solutions/sludge-pumping/,главный запрос кластера
трубопровод для шлама,,unavailable,commercial_research,Шламопроводы,Шламопроводы,application,application,SEPARATE_PAGE,A000,C016,high,core,комплект трубопровода,/bystrotruby-site/solutions/sludge-pumping/,вариант/подинтент; частотность не получена
трубы для шламопровода,,unavailable,commercial_research,Шламопроводы,Шламопроводы,application,application,SEPARATE_PAGE,A000,C016,high,core,комплект трубопровода,/bystrotruby-site/solutions/sludge-pumping/,вариант/подинтент; частотность не получена
перекачка шлама,,unavailable,commercial_research,Шламопроводы,Шламопроводы,application,application,SEPARATE_PAGE,A000,C016,high,core,комплект трубопровода,/bystrotruby-site/solutions/sludge-pumping/,вариант/подинтент; частотность не получена
напорный шламопровод,,unavailable,commercial_research,Шламопроводы,Шламопроводы,application,application,SEPARATE_PAGE,A000,C016,high,core,комплект трубопровода,/bystrotruby-site/solutions/sludge-pumping/,вариант/подинтент; частотность не получена
абразивный шлам трубопровод,,unavailable,commercial_research,Шламопроводы,Шламопроводы,application,application,SEPARATE_PAGE,A000,C016,high,core,комплект трубопровода,/bystrotruby-site/solutions/sludge-pumping/,вариант/подинтент; частотность не получена
гидротранспорт трубопровод,,unavailable,commercial_research,Гидротранспорт и гидромеханизация,,application,application,SECTION,A000,C017,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/#hydrotransport,главный запрос кластера
гидромеханизация трубопроводы,,unavailable,commercial_research,Гидротранспорт и гидромеханизация,Гидротранспорт и гидромеханизация,application,application,SECTION,A000,C017,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/#hydrotransport,вариант/подинтент; частотность не получена
транспортировка гидросмеси,,unavailable,commercial_research,Гидротранспорт и гидромеханизация,Гидротранспорт и гидромеханизация,application,application,SECTION,A000,C017,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/#hydrotransport,вариант/подинтент; частотность не получена
гидросмесь трубопровод,,unavailable,commercial_research,Гидротранспорт и гидромеханизация,Гидротранспорт и гидромеханизация,application,application,SECTION,A000,C017,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/#hydrotransport,вариант/подинтент; частотность не получена
намыв трубопровод,,unavailable,commercial_research,Гидротранспорт и гидромеханизация,Гидротранспорт и гидромеханизация,application,application,SECTION,A000,C017,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/#hydrotransport,вариант/подинтент; частотность не получена
дноуглубление пульпопровод,,unavailable,commercial_research,Гидротранспорт и гидромеханизация,Гидротранспорт и гидромеханизация,application,application,SECTION,A000,C017,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/slurry-pumping/#hydrotransport,вариант/подинтент; частотность не получена
трубопровод гидрозолоудаления,,unavailable,commercial_research,Гидрозолоудаление,,application,application,SEPARATE_PAGE,A000,C018,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/ash-slag-removal/,главный запрос кластера
гидрозолоудаление трубы,,unavailable,commercial_research,Гидрозолоудаление,Гидрозолоудаление,application,application,SEPARATE_PAGE,A000,C018,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/ash-slag-removal/,вариант/подинтент; частотность не получена
золошлакопровод,,unavailable,commercial_research,Гидрозолоудаление,Гидрозолоудаление,application,application,SEPARATE_PAGE,A000,C018,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/ash-slag-removal/,вариант/подинтент; частотность не получена
трубопровод золошлаковой смеси,,unavailable,commercial_research,Гидрозолоудаление,Гидрозолоудаление,application,application,SEPARATE_PAGE,A000,C018,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/ash-slag-removal/,вариант/подинтент; частотность не получена
перекачка золошлака,,unavailable,commercial_research,Гидрозолоудаление,Гидрозолоудаление,application,application,SEPARATE_PAGE,A000,C018,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/ash-slag-removal/,вариант/подинтент; частотность не получена
